name_scientific,description_en
Accipitriformes,"Hawks, Eagles, and Kites"
Anseriformes,"Ducks, Geese, and Waterfowl"
Apodiformes,"Hummingbirds, Swifts"
Apterygiformes,Kiwis
Bucerotiformes,Hoopoes
Caprimulgiformes,Swifts
Cariamiformes,Seriemas
Casuariiformes,Cassowaries and Emu
Cathartiformes,New World Vultures
Charadriiformes,Plovers and Lapwings
Ciconiiformes,Storks
Coliiformes,Mousebirds
Columbiformes,Pigeons and Doves
Coraciiformes,Kingfishers
Cuculiformes,Cuckoos
Eurypygiformes,Sunbittern
Falconiformes,Falcons and Caracaras
Galbuliformes,Jacamars
Galliformes,"Pheasants, Grouse, and Allies"
Gaviiformes,Loons
Gruiformes,"Rails, Gallinules, and Coots"
Leptosomiformes,Cuckoo-roller
Mesitornithiformes,Mesites
Musophagiformes,Turacos
Opisthocomiformes,Hoatzin
Otidiformes,Bustards
Passeriformes,Old World Sparrows
Pelecaniformes,"Herons, Egrets, and Bitterns"
Phaethontiformes,Tropicbirds
Phoenicopteriformes,Flamingos
Piciformes,Woodpeckers
Podicipediformes,Grebes
Procellariiformes,Shearwaters and Petrels
Psittaciformes,Old World Parrots
Pterocliformes,Sandgrouse
Rheiformes,Rheas
Sphenisciformes,Penguins
Strigiformes,Owls
Struthioniformes,Ostriches
Suliformes,Cormorants and Shags
