name_scientific,order,name_en,name_local,alternate_names_local,alternate_names_en,name_meaning_en,description_local,description_en,size,images_json,song_audios
Fulica americana,Gruiformes,american coot,bíaxaake ishtahisshikáate,,,red eye duck,,,Small-Medium,,
Cinclus mexicanus,Passeriformes,american dipper,akchilakappeelísshe,,,one who picks it up dancing; the gloss we have describes a dancer not a bird,,,Medium,,
Icterus galbula,Passeriformes,baltimore oriole,dakáakooshe,,northern oriole (deprecated),red bird,,,Small,,
Riparia riparia,Passeriformes,bank swallow,awakóokaate,iipsáhte,,small brings dirt; forked tail,,,Tiny,,
Hirundo rustica,Passeriformes,barn swallow,awakóo,iipsáhte,,brings dirt; forked tail,,,Small,,
Pica hudsonia,Passeriformes,black-billed magpie,íipiakaate,,,slender tail,,,Small-Medium,,
Dolichonyx oryzivorus,Passeriformes,bobolink,xuáhchee chichée,,,looks like a skunk,,,Small,,
Euphagus cyanocephalus,Passeriformes,brewers blackbird,iichíilakiichiwee,,,one who tells stories among horses,"This is a long crow description for checking app functionality.
Not sure what else to say. <b>Whoa, there, buddy!</b>","Even more to say in English, is a long crow description for checking app functionality.
Not sure what else to say. <b>English!</b>",Small,"[{""file"": ""brewers-blackbird-female.jpg"", ""caption"": ""female""}, {""file"": ""brewers-blackbird-male.jpg"", ""caption"": ""male""}]",
Toxostoma rufum,Passeriformes,brown thrasher,akdichahó,,,one with many calls,,,Small,,
Molothrus ater,Passeriformes,brown-headed cowbird,bishéekiichiwee,baaxíile,,one who tells stories among buffalo; grey one,,,Small-Medium,,
Athene cunicularia,Strigiformes,burrowing owl,chihpíhkaashe,póopahtauuxisshe,,lives with prairie dogs; bobtailed owl,,,Medium,,
Branta canadensis,Anseriformes,canada goose,bíilee,,,,,,Large,,
Perisoreus canadensis,Passeriformes,canada jay,akbishkaaluushé,,camp robber,one who eats pine pitch,,,Medium,,
Poecile atricapillus,Passeriformes,chickadee,iishoopiiliché,chichéexia,,makes his call four times; hard to see (because it fades into its surroundings),,,Tiny,,
Gallus domesticus,Galliformes,chicken,baashchíilisdakaake,,,whiteman’s bird,,,Medium,,
Gallus domesticus,Galliformes,chicken (chick),baashchíilisdakaakdaake,,,whiteman’s bird offspring,,,Tiny,,
Gallus domesticus,Galliformes,chicken (rooster),baashchíilisdakaakbule,"akbaaisshéeletaaxaape, isshéeletaaxaape",,male whiteman’s bird; one whose crown of the head is flat; crown of the head is flat,,,Medium,,
Chaetura pelagica,Apodiformes,chimney swift,iaxpummássaleete,,,lacks first wing feather; need to hear this pronounced > compare with iaxpummikaássaaleete,,,Medium,,
Nucifraga columbiana,Passeriformes,clark's nutcracker,akbishkaaluushisée,,,big one who eats pine pitch,,,Medium,,
Petrochelidon pyrrhonota,Passeriformes,cliff swallow,awakóokaate,iipsáhte,,small brings dirt; forked tail,,,Small,,
Sturnus vulgaris,Passeriformes,common starling,buluhpáakiichiwee,buluhpáakiichiwee,,one who tells stories among plums,,,Small-Medium,,
Accipiter cooperii,Accipitriformes,cooper's hawk,chilaxtaisée,,,big hawk,,,Medium-Large,,
Corvus brachyrhynchos,Passeriformes,crow,áalihte,,,description of their call,,,Medium-Large,,
Anas sp.,Anseriformes,duck,bíaxaake,,,shining rock (duck in general),,,Medium,,
Haliaeetus leucocephalus,Accipitriformes,eagle (1 year old bald),déaxshipite,,,dark eagle,,,Very Large,,
Haliaeetus leucocephalus,Accipitriformes,eagle (1 year old golden),déaxkaashe,,,very bright,,,Very Large,,
Haliaeetus leucocephalus,Accipitriformes,eagle (2 year old golden),déaxe,,,bright,,,Very Large,,
Haliaeetus leucocephalus,Accipitriformes,eagle (eaglet),baachíiliche,,,one that is reared,,,Large,,
Haliaeetus leucocephalus,Accipitriformes,eagle (mature bald),dúuptakoische,,,both ends white (head and tail),,,Very Large,,
Aquila chrysaetos,Accipitriformes,eagle (mature golden),déaxkaashxaalia,xáxxachia,,old very bright; white striped,,,Very Large,,
Haliaeetus leucocephalus,Accipitriformes,eagle (sub-adult golden or 2 year old bald),xáxxe,,,spotted,,,Very Large,,
Tyrannus tyrannus,Passeriformes,eastern kingbird,púupxite,,,? grey,,,Small-Medium,,
