name,description_en,description_local
Trees,"Large woody plants, often named species",
Shrubs & Bushes,"Smaller woody plants, often with berries",
Grasses & Grasslike,"Grasses, reeds, sedges",
Wildflowers,"Seasonal, often showy flowering plants (forbs)",
Herbs & Medicinal Plants,"Used in teas, salves, ceremony, or medicine",
Berries & Edible Fruits,"Native berries, fruits used as food",
Crops & Domestic Plants,Cultivated or non-native garden plants,
"Fungi, Moss, & Lichen",Non-flowering ground or tree organisms,
Succulents & Cacti,Drought-resistant with thick leaves/stems,
Dangerous or Poisonous,Harmful to touch or ingest,
Ceremonial or Sacred,Plants with specific cultural roles,
Other or Unsorted,"Rare, ambiguous, or multipurpose",
