name_scientific,name_en,name_local,alternative_names_local,category,name_meaning_en,description_en,crow_name_audios_json,images_json,map_image
Lophophora williamsii,peyote,bichkiliiá,baaapáamaaxpee,Ceremonial or Sacred,cactus; holy plant,"<p>
<b>Description</b>: A large shrub, up to 15 feet in height. The
branches are thorny. The oval shaped leaves alternate
arranged, 2–4 inches long, dark green, smooth and pale on
the underside. The small flowers with five, white petals and
yelow tipped stamens occur singly or in clusters. Spherical
to oblong fruit is yellow to reddish-purple and 1 inch in
diameter.
</p>
<br>
<p>
<b>Habitat</b>: Thickets, woodlands, mountain slopes; plains, and
valleys.
</p>
<br>
<p>
<b>Uses</b>: Fruit is edible. Branches used for ceremonies. Roots
have been used to make dyes.
</p>","[{""file"": ""30220_ahpee-baaapaale--evening-primrose_Entry1_VCA_1749232956717.mp3""}]","[{""file"": ""Biscuitroot.jpg""}]",biscuitroot-map.jpg
Heracleum lanatum; Heracleum maximum,rhubarb,baaxaláxxate,,Crops & Domestic Plants,skinny ones,"<p>
<b>Description</b>: A large shrub, up to 15 feet in height. The
branches are thorny. The oval shaped leaves alternate
arranged, 2–4 inches long, dark green, smooth and pale on
the underside. The small flowers with five, white petals and
yelow tipped stamens occur singly or in clusters. Spherical
to oblong fruit is yellow to reddish-purple and 1 inch in
diameter.
</p>
<br>
<p>
<b>Habitat</b>: Thickets, woodlands, mountain slopes; plains, and
valleys.
</p>
<br>
<p>
<b>Uses</b>: Fruit is edible. Branches used for ceremonies. Roots
have been used to make dyes.
</p>","[{""file"": ""1997_baachuutaahile_chokecherry_RileySinger.mp3""}]","[{""file"": ""Tobacco.jpg""}]",sacred_tobacco-map.jpg
Lepidium latifolium,peppergrass,bikkée ishía,,Crops & Domestic Plants,bitter grass,"<p>
<b>Description</b>: A large shrub, up to 15 feet in height. The
branches are thorny. The oval shaped leaves alternate
arranged, 2–4 inches long, dark green, smooth and pale on
the underside. The small flowers with five, white petals and
yelow tipped stamens occur singly or in clusters. Spherical
to oblong fruit is yellow to reddish-purple and 1 inch in
diameter.
</p>
<br>
<p>
<b>Habitat</b>: Thickets, woodlands, mountain slopes; plains, and
valleys.
</p>
<br>
<p>
<b>Uses</b>: Fruit is edible. Branches used for ceremonies. Roots
have been used to make dyes.
</p>","[{""file"": ""3445_bikkaakaashe_bluegrass_CGL.mp3""}]","[{""file"": ""Stoneseed.jpg""}]",stoneseed-map.jpg
Prunus americana,plum,buluhpé,,Crops & Domestic Plants,(fruit) grows at the tip,"<p>
<b>Description</b>: A large shrub, up to 15 feet in height. The
branches are thorny. The oval shaped leaves alternate
arranged, 2–4 inches long, dark green, smooth and pale on
the underside. The small flowers with five, white petals and
yelow tipped stamens occur singly or in clusters. Spherical
to oblong fruit is yellow to reddish-purple and 1 inch in
diameter.
</p>
<br>
<p>
<b>Habitat</b>: Thickets, woodlands, mountain slopes; plains, and
valleys.
</p>
<br>
<p>
<b>Uses</b>: Fruit is edible. Branches used for ceremonies. Roots
have been used to make dyes.
</p>","[{""file"": ""5782_ihchihchia_tobacco_sacred_roannehill1.mp3""}]","[{""file"": ""Puffball.jpg""}]",biscuitroot-map.jpg
"Vitis riparia,",grapes,daxpitchishtásshe,daxpitcheeishtásshe,Crops & Domestic Plants,gleaming bear's eyes,"<p>
<b>Description</b>: A large shrub, up to 15 feet in height. The
branches are thorny. The oval shaped leaves alternate
arranged, 2–4 inches long, dark green, smooth and pale on
the underside. The small flowers with five, white petals and
yelow tipped stamens occur singly or in clusters. Spherical
to oblong fruit is yellow to reddish-purple and 1 inch in
diameter.
</p>
<br>
<p>
<b>Habitat</b>: Thickets, woodlands, mountain slopes; plains, and
valleys.
</p>
<br>
<p>
<b>Uses</b>: Fruit is edible. Branches used for ceremonies. Roots
have been used to make dyes.
</p>","[{""file"": ""3962_cheetisbaxupe_milkweed_CGL.mp3""}]","[{""file"": ""Elk_Thistle.jpg""}]",elkthistle.jpg
Linum lewisii,flax,ishóochapaalia,,Crops & Domestic Plants,front wrapped,"<p>
<b>Description</b>: A large shrub, up to 15 feet in height. The
branches are thorny. The oval shaped leaves alternate
arranged, 2–4 inches long, dark green, smooth and pale on
the underside. The small flowers with five, white petals and
yelow tipped stamens occur singly or in clusters. Spherical
to oblong fruit is yellow to reddish-purple and 1 inch in
diameter.
</p>
<br>
<p>
<b>Habitat</b>: Thickets, woodlands, mountain slopes; plains, and
valleys.
</p>
<br>
<p>
<b>Uses</b>: Fruit is edible. Branches used for ceremonies. Roots
have been used to make dyes.
</p>","[{""file"": ""3777_bishkaakaase_pine_rosin_CGL.mp3""}]","[{""file"": ""Snowbrush.jpg""}]",elkweed-map.jpg
Asparagus officinalis,wild asparagus,shoopé shísshishpia,,Crops & Domestic Plants,four curls on the stem,"<p>
<b>Description</b>: A large shrub, up to 15 feet in height. The
branches are thorny. The oval shaped leaves alternate
arranged, 2–4 inches long, dark green, smooth and pale on
the underside. The small flowers with five, white petals and
yelow tipped stamens occur singly or in clusters. Spherical
to oblong fruit is yellow to reddish-purple and 1 inch in
diameter.
</p>
<br>
<p>
<b>Habitat</b>: Thickets, woodlands, mountain slopes; plains, and
valleys.
</p>
<br>
<p>
<b>Uses</b>: Fruit is edible. Branches used for ceremonies. Roots
have been used to make dyes.
</p>","[{""file"": ""7812_ooptawihche_bark_red_willow_mixed_with_tobacco_RCA.mp3""}]","[{""file"": ""Nootka_Rose.jpg""}]",nutka_rose-map.jpg
Zea mays L.,corn,xooxaáshe,,Crops & Domestic Plants,maize,"<p>
<b>Description</b>: A large shrub, up to 15 feet in height. The
branches are thorny. The oval shaped leaves alternate
arranged, 2–4 inches long, dark green, smooth and pale on
the underside. The small flowers with five, white petals and
yelow tipped stamens occur singly or in clusters. Spherical
to oblong fruit is yellow to reddish-purple and 1 inch in
diameter.
</p>
<br>
<p>
<b>Habitat</b>: Thickets, woodlands, mountain slopes; plains, and
valleys.
</p>
<br>
<p>
<b>Uses</b>: Fruit is edible. Branches used for ceremonies. Roots
have been used to make dyes.
</p>","[{""file"": ""29767_cheetishbilishpite--pennyroyal_Entry1_LYM_1754602926541.mp3""}]","[{""file"": ""Asparagus.jpg""}]","asparagus.jpg	"
Solanum sp.,nightshade,akúuwatkaatbaachuua,,Dangerous or Poisonous,one with metallic  berries,"<p>
<b>Description</b>: A large shrub, up to 15 feet in height. The
branches are thorny. The oval shaped leaves alternate
arranged, 2–4 inches long, dark green, smooth and pale on
the underside. The small flowers with five, white petals and
yelow tipped stamens occur singly or in clusters. Spherical
to oblong fruit is yellow to reddish-purple and 1 inch in
diameter.
</p>
<br>
<p>
<b>Habitat</b>: Thickets, woodlands, mountain slopes; plains, and
valleys.
</p>
<br>
<p>
<b>Uses</b>: Fruit is edible. Branches used for ceremonies. Roots
have been used to make dyes.
</p>","[{""file"": ""3793_bishkaxchiia_dogbush_rileysinger1.mp3""}]","[{""file"": ""creeping_juniper.jpg""}]",creeping_juniper-map.jpg
Oxytropis lagopus,locoweed,baaapáalikshiwaalaaxe,"iichíinmaaluushissee, bikkaawaaláaxe",Dangerous or Poisonous,crazy flower; something horses won’t eat; crazy grass,"<p>
<b>Description</b>: A large shrub, up to 15 feet in height. The
branches are thorny. The oval shaped leaves alternate
arranged, 2–4 inches long, dark green, smooth and pale on
the underside. The small flowers with five, white petals and
yelow tipped stamens occur singly or in clusters. Spherical
to oblong fruit is yellow to reddish-purple and 1 inch in
diameter.
</p>
<br>
<p>
<b>Habitat</b>: Thickets, woodlands, mountain slopes; plains, and
valleys.
</p>
<br>
<p>
<b>Uses</b>: Fruit is edible. Branches used for ceremonies. Roots
have been used to make dyes.
</p>","[{""file"": ""3931_buxpaalichikua_baneberry_rileysinger1.mp3""}]","[{""file"": ""Bedstraw.jpg""}]",bedstraw-map.jpg
